"id","name","image_tag","created_at","updated_at"
"141","Aluminium Accessories","unavailable.png","2019-09-09 20:25:18","2019-09-09 20:25:18"
"142","Car Care","unavailable.png","2019-09-09 20:25:18","2019-09-09 20:25:18"
"143","Livestock","unavailable.png","2019-09-09 20:25:18","2019-09-09 20:25:18"
"144","Men's Tailor","unavailable.png","2019-09-09 20:25:19","2019-09-09 20:25:19"
"145","Household Appliances","unavailable.png","2019-09-09 20:25:19","2019-09-09 20:25:19"
"146","Children's Party Planners","unavailable.png","2019-09-09 20:25:19","2019-09-09 20:25:19"
"147","Ict Training","unavailable.png","2019-09-09 20:25:19","2019-09-09 20:25:19"
"148","Chemical Manufacturers","unavailable.png","2019-09-09 20:26:29","2019-09-09 20:26:29"
"149","Environment Management","unavailable.png","2019-09-09 20:26:30","2019-09-09 20:26:30"
"150","Life Style Products","unavailable.png","2019-09-09 20:26:31","2019-09-09 20:26:31"
"151","Cosmetic Product","unavailable.png","2019-09-09 20:26:32","2019-09-09 20:26:32"
"152","Chinese Restaurants","unavailable.png","2019-09-09 20:26:36","2019-09-09 20:26:36"
"153","Ambulance Services","unavailable.png","2019-09-09 20:26:37","2019-09-09 20:26:37"
"154","Cleaning Professionals","unavailable.png","2019-09-09 20:26:41","2019-09-09 20:26:41"
"155","Tour Managers","unavailable.png","2019-09-09 20:26:41","2019-09-09 20:26:41"
"156","Bulk Messaging","unavailable.png","2019-09-09 20:26:43","2019-09-09 20:26:43"
"157","Hotels","unavailable.png","2019-09-09 20:26:43","2019-09-09 20:26:43"
"158","Diesel Dealers","unavailable.png","2019-09-09 20:26:44","2019-09-09 20:26:44"
"159","Imports & Exports","unavailable.png","2019-09-09 20:26:46","2019-09-09 20:26:46"
"160","Pharmacy","unavailable.png","2019-09-09 20:26:46","2019-09-09 20:26:46"
"161","Art & Craft Shops","unavailable.png","2019-09-09 20:26:49","2019-09-09 20:26:49"
"162","Fast Food Joints","unavailable.png","2019-09-09 20:26:52","2019-09-09 20:26:52"
"163","Nigerian Restaurants","unavailable.png","2019-09-09 20:26:52","2019-09-09 20:26:52"
"164","Leasing Companies","unavailable.png","2019-09-09 20:26:54","2019-09-09 20:26:54"
"165","Fabrication","unavailable.png","2019-09-09 20:27:02","2019-09-09 20:27:02"
"166","Transport Services","unavailable.png","2019-09-09 20:27:08","2019-09-09 20:27:08"
"167","Health Management Organisation","unavailable.png","2019-09-09 20:27:08","2019-09-09 20:27:08"
"168","Beauty Parlours","unavailable.png","2019-09-09 20:27:09","2019-09-09 20:27:09"
"169","Business Examination Body","unavailable.png","2019-09-09 20:27:20","2019-09-09 20:27:20"
"170","Casual Wear","unavailable.png","2019-09-09 20:27:21","2019-09-09 20:27:21"
"171","Association Of Of Small Scale Industries","unavailable.png","2019-09-09 20:27:22","2019-09-09 20:27:22"
"172","Kerosine Dealers","unavailable.png","2019-09-09 20:27:33","2019-09-09 20:27:33"
"173","Electronic Repair","unavailable.png","2019-09-09 20:27:35","2019-09-09 20:27:35"
"174","E-Commerce","unavailable.png","2019-09-09 20:27:35","2019-09-09 20:27:35"
"175","Company Secretarial Services","unavailable.png","2019-09-09 20:27:38","2019-09-09 20:27:38"
"176","Brick Layers","unavailable.png","2019-09-09 20:27:39","2019-09-09 20:27:39"
"177","Sim Card Dealers","unavailable.png","2019-09-09 20:27:41","2019-09-09 20:27:41"
"178","Fruit & Vegetable Stores","unavailable.png","2019-09-09 20:27:43","2019-09-09 20:27:43"
"179","Beauty Products","unavailable.png","2019-09-09 20:27:43","2019-09-09 20:27:43"
"180","bicycle","unavailable.png","2019-09-09 20:27:44","2019-09-09 20:27:44"
"181","Environmental","unavailable.png","2019-09-09 20:27:45","2019-09-09 20:27:45"
"182","Art Galleries","unavailable.png","2019-09-09 20:27:46","2019-09-09 20:27:46"
"183","Photo & Video Coverage Services","unavailable.png","2019-09-09 20:27:47","2019-09-09 20:27:47"
"184","Cooking Gas Dealers","unavailable.png","2019-09-09 20:27:48","2019-09-09 20:27:48"
"185","Music","unavailable.png","2019-09-09 20:27:50","2019-09-09 20:27:50"
"186","Federal Government Offices","unavailable.png","2019-09-09 20:27:50","2019-09-09 20:27:50"
"187","Animation","unavailable.png","2019-09-09 20:27:50","2019-09-09 20:27:50"
"188","Computer Repairs & Services","unavailable.png","2019-09-09 20:27:52","2019-09-09 20:27:52"
"189","Satellite & Cable Tv","unavailable.png","2019-09-09 20:27:52","2019-09-09 20:27:52"
"190","General Electrical Equipments","unavailable.png","2019-09-09 20:27:52","2019-09-09 20:27:52"
"191","Kitchen Utensils","unavailable.png","2019-09-09 20:27:52","2019-09-09 20:27:52"
"192","Tourism","unavailable.png","2019-09-09 20:29:08","2019-09-09 20:29:08"
"193","FMCG","unavailable.png","2019-09-09 20:29:08","2019-09-09 20:29:08"
"194","Automobile","unavailable.png","2019-09-09 20:29:09","2019-09-09 20:29:09"
"195","Children Boutiques","unavailable.png","2019-09-09 20:29:13","2019-09-09 20:29:13"
"196","Auto Accessories","unavailable.png","2019-09-09 20:29:14","2019-09-09 20:29:14"
"197","Mobile Phone Repairs","unavailable.png","2019-09-09 20:29:15","2019-09-09 20:29:15"
"198","Restaurants","unavailable.png","2019-09-09 20:29:16","2019-09-09 20:29:16"
"199","Barbers","unavailable.png","2019-09-09 20:29:18","2019-09-09 20:29:18"
"200","Customs","unavailable.png","2019-09-09 20:29:18","2019-09-09 20:29:18"
"201","Dj","unavailable.png","2019-09-09 20:29:19","2019-09-09 20:29:19"
"202","Building Construction Company","unavailable.png","2019-09-09 20:29:20","2019-09-09 20:29:20"
"203","Flour Mills","unavailable.png","2019-09-09 20:29:20","2019-09-09 20:29:20"
"204","Cobblers","unavailable.png","2019-09-09 20:29:20","2019-09-09 20:29:20"
"205","batteries","unavailable.png","2019-09-09 20:29:21","2019-09-09 20:29:21"
"206","bags","unavailable.png","2019-09-09 20:29:28","2019-09-09 20:29:28"
"207","Foam Depot","unavailable.png","2019-09-09 20:29:33","2019-09-09 20:29:33"
"208","door and gate","unavailable.png","2019-09-09 20:29:34","2019-09-09 20:29:34"
"209","window blinds","unavailable.png","2019-09-09 20:29:34","2019-09-09 20:29:34"
"210","Domain Name Registration","unavailable.png","2019-09-09 20:29:38","2019-09-09 20:29:38"
"211","Laundry & Dry Cleaners","unavailable.png","2019-09-09 20:29:40","2019-09-09 20:29:40"
"212","Advertising Agencies","unavailable.png","2019-09-09 20:30:03","2019-09-09 20:30:03"
"213","Internet Service Providers","unavailable.png","2019-09-09 20:30:05","2019-09-09 20:30:05"
"214","Manufacturers","unavailable.png","2019-09-09 20:30:27","2019-09-09 20:30:27"
"215","Building Engineers","unavailable.png","2019-09-09 20:30:42","2019-09-09 20:30:42"
"216","FMCG Distributors","unavailable.png","2019-09-09 20:30:43","2019-09-09 20:30:43"
"217","Broadcast Equipment Manufacturers","unavailable.png","2019-09-09 20:30:46","2019-09-09 20:30:46"
"218","Water Engineering","unavailable.png","2019-09-09 20:30:56","2019-09-09 20:30:56"
"219","Amusement Parks","unavailable.png","2019-09-09 20:31:01","2019-09-09 20:31:01"
"220","Bank & Finance","unavailable.png","2019-09-09 20:31:02","2019-09-09 20:31:02"
"221","Cafe","unavailable.png","2019-09-09 20:31:09","2019-09-09 20:31:09"
"222","Card Technology","unavailable.png","2019-09-09 20:31:09","2019-09-09 20:31:09"
"223","Health And Medical","unavailable.png","2019-09-09 20:31:11","2019-09-09 20:31:11"
"224","Photographers","unavailable.png","2019-09-09 20:31:15","2019-09-09 20:31:15"
"225","Home Furnishings","unavailable.png","2019-09-09 20:31:15","2019-09-09 20:31:15"
"226","Building Construction Services","unavailable.png","2019-09-09 20:31:19","2019-09-09 20:31:19"
"227","bathroom fitting","unavailable.png","2019-09-09 20:31:20","2019-09-09 20:31:20"
"228","Snooker Pool Game","unavailable.png","2019-09-09 20:31:29","2019-09-09 20:31:29"
"229","Babies & Kiddies Products","unavailable.png","2019-09-09 20:31:35","2019-09-09 20:31:35"
"230","Government Agency","unavailable.png","2019-09-09 20:31:40","2019-09-09 20:31:40"
"231","Association Meeting","unavailable.png","2019-09-09 20:31:41","2019-09-09 20:31:41"
"232","Journal","unavailable.png","2019-09-09 20:31:42","2019-09-09 20:31:42"
"233","Human Resources","unavailable.png","2019-09-09 20:31:46","2019-09-09 20:31:46"
"234","Export","unavailable.png","2019-09-09 20:31:48","2019-09-09 20:31:48"
"235","Event Management","unavailable.png","2019-09-09 20:31:49","2019-09-09 20:31:49"
"236","Building Maintenance","unavailable.png","2019-09-09 20:31:56","2019-09-09 20:31:56"
"237","Herbal Product","unavailable.png","2019-09-09 20:32:00","2019-09-09 20:32:00"
"238","Cafe & Coffee Shops","unavailable.png","2019-09-09 20:32:01","2019-09-09 20:32:01"
"239","African Restaurants","unavailable.png","2019-09-09 20:32:01","2019-09-09 20:32:01"
"240","Software Developers","unavailable.png","2019-09-09 20:32:02","2019-09-09 20:32:02"
"241","computer software","unavailable.png","2019-09-09 20:32:02","2019-09-09 20:32:02"
"242","Continental Cuisine","unavailable.png","2019-09-09 20:32:02","2019-09-09 20:32:02"
"243","Auto Tracking Services","unavailable.png","2019-09-09 20:32:08","2019-09-09 20:32:08"
"244","Education Associations","unavailable.png","2019-09-09 20:32:09","2019-09-09 20:32:09"
"245","Solar Energy Equipments","unavailable.png","2019-09-09 20:32:12","2019-09-09 20:32:12"
"246","Bureau De Change","unavailable.png","2019-09-09 20:32:13","2019-09-09 20:32:13"
"247","Computers","unavailable.png","2019-09-09 20:32:13","2019-09-09 20:32:13"
"248","Headlights & Lighting","unavailable.png","2019-09-09 20:32:13","2019-09-09 20:32:13"
"249","Electrical Accessories","unavailable.png","2019-09-09 20:32:13","2019-09-09 20:32:13"
"250","Floral Decorators","unavailable.png","2019-09-09 20:32:14","2019-09-09 20:32:14"
"251","Food Delivery","unavailable.png","2019-09-09 20:32:14","2019-09-09 20:32:14"
"252","Agricultural Commodities","unavailable.png","2019-09-09 20:32:14","2019-09-09 20:32:14"
"253","Agro Allied Products","unavailable.png","2019-09-09 20:32:15","2019-09-09 20:32:15"
"254","Standard Supermarket","unavailable.png","2019-09-09 20:32:15","2019-09-09 20:32:15"
"255","Carpenters","unavailable.png","2019-09-09 20:32:15","2019-09-09 20:32:15"
"256","Plastics","unavailable.png","2019-09-09 20:32:15","2019-09-09 20:32:15"
"257","Make Up Artists","unavailable.png","2019-09-09 20:32:15","2019-09-09 20:32:15"
"258","Concrete Stone","unavailable.png","2019-09-09 20:32:16","2019-09-09 20:32:16"
"259","Firewood Seller Association","unavailable.png","2019-09-09 20:32:16","2019-09-09 20:32:16"
"260","Spiritual Temple","unavailable.png","2019-09-09 20:32:16","2019-09-09 20:32:16"
"261","Design & Decor","unavailable.png","2019-09-09 20:32:16","2019-09-09 20:32:16"
"262","Information Technology","unavailable.png","2019-09-09 20:45:07","2019-09-09 20:45:07"
"263","Facility Managers","unavailable.png","2019-09-09 20:45:08","2019-09-09 20:45:08"
"264","Trading","unavailable.png","2019-09-09 20:45:11","2019-09-09 20:45:11"
"265","paints","unavailable.png","2019-09-09 20:45:15","2019-09-09 20:45:15"
"266","Casinos","unavailable.png","2019-09-09 20:45:27","2019-09-09 20:45:27"
"267","Health & Beauty","unavailable.png","2019-09-09 20:45:30","2019-09-09 20:45:30"
"268","Nursery Schools","unavailable.png","2019-09-09 20:45:40","2019-09-09 20:45:40"
"269","Spare Parts","unavailable.png","2019-09-09 20:45:47","2019-09-09 20:45:47"
"270","Airline Booking Offices","unavailable.png","2019-09-09 20:45:55","2019-09-09 20:45:55"
"271","Counsellors & Consultants","unavailable.png","2019-09-09 20:45:59","2019-09-09 20:45:59"
"272","Web Development","unavailable.png","2019-09-09 20:46:00","2019-09-09 20:46:00"
"273","Fitness Centre","unavailable.png","2019-09-09 20:46:06","2019-09-09 20:46:06"
"274","Travel Agencies","unavailable.png","2019-09-09 20:46:17","2019-09-09 20:46:17"
"275","Infrastructure Based Telecom Services","unavailable.png","2019-09-09 20:46:18","2019-09-09 20:46:18"
"276","Professional Institute","unavailable.png","2019-09-09 20:46:21","2019-09-09 20:46:21"
"277","Electrical and Electronic Equipments","unavailable.png","2019-09-09 20:46:27","2019-09-09 20:46:27"
"279","Active Life","unavailable.png","2019-09-09 20:46:47","2019-09-09 20:46:47"
"280","Photo Processing Labs","unavailable.png","2019-09-09 20:47:00","2019-09-09 20:47:00"
"281","Lifestyle","unavailable.png","2019-09-09 20:47:06","2019-09-09 20:47:06"
"282","Air Travel","unavailable.png","2019-09-09 20:47:19","2019-09-09 20:47:19"
"283","Doctors","unavailable.png","2019-09-09 20:47:33","2019-09-09 20:47:33"
"284","General Provision Store","unavailable.png","2019-09-09 20:47:39","2019-09-09 20:47:39"
"285","Cooking Utensil Rentals","unavailable.png","2019-09-09 20:47:53","2019-09-09 20:47:53"
"286","Online Shopping","unavailable.png","2019-09-09 20:47:54","2019-09-09 20:47:54"
"287","Bridals","unavailable.png","2019-09-09 20:47:58","2019-09-09 20:47:58"
"288","Artists","unavailable.png","2019-09-09 20:48:05","2019-09-09 20:48:05"
"289","beauty salon","unavailable.png","2019-09-09 20:48:21","2019-09-09 20:48:21"
"290","Cold Rooms","unavailable.png","2019-09-09 20:48:45","2019-09-09 20:48:45"
"291","Already Made Dresses","unavailable.png","2019-09-09 20:48:50","2019-09-09 20:48:50"
"292","Securities","unavailable.png","2019-09-09 20:48:51","2019-09-09 20:48:51"
"293","Office Automation","unavailable.png","2019-09-09 20:49:18","2019-09-09 20:49:18"
"294","Club","unavailable.png","2019-09-09 20:49:40","2019-09-09 20:49:40"
"295","biscuit","unavailable.png","2019-09-09 20:49:42","2019-09-09 20:49:42"
