"id";"name";"state_id";"created_at";"updated_at"
"107";"Warji";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"108";"Zaki";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"109";"Brass";"7";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"110";"Ekeremor";"7";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"111";"Kolokuma/Opokuma";"7";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"112";"Nembe";"7";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"113";"Ogbia";"7";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"114";"Sagbama";"7";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"115";"Southern Ijaw";"7";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"116";"Yenagoa";"7";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"117";"Ado";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"118";"Agatu";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"119";"Apa";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"120";"Buruku";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"121";"Gboko";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"122";"Guma";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"123";"Gwer East";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"124";"Gwer West";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"126";"Kwande";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"127";"Logo";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"128";"Makurdi";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"129";"Obi";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"130";"Ogbadibo";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"131";"Ohimini";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"132";"Oju";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"133";"Okpokwu";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"134";"Otukpo";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"135";"Tarka";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"136";"Ukum";"8";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"137";"Ushongo";"8";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"138";"Vandeikya";"8";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"139";"Abadam";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"140";"Askira/Uba";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"141";"Bama";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"142";"Biu";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"143";"Chibok";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"144";"Damboa";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"145";"Dikwa";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"146";"Gubio";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"147";"Guzamala";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"148";"Gwoza";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"149";"Jere";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"150";"Konduga";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"151";"Kukawa";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"152";"Mafa";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"153";"Magumeri";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"154";"Maiduguri";"9";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"155";"Abi";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"156";"Akamkpa";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"157";"Akpabuyo";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"158";"Bakassi";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"159";"Bekwara";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"160";"Biase";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"161";"Boki";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"162";"Calabar-Municipal";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"163";"Calabar South";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"164";"Etung";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"165";"Ikom";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"166";"Obanliku";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"167";"Obubra";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"168";"Obudu";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"169";"Odukpani";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"170";"Ogoja";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"171";"Yakuur";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"172";"Yala";"10";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"173";"Aniocha North";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"174";"Aniocha South";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"175";"Bomadi";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"176";"Burutu";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"177";"Ethiope East";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"178";"Ethiope West";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"179";"Ika North East";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"180";"Ika South";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"181";"Isoko North";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"182";"Isoko South";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"183";"Ndokwa East";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"184";"Ndokwa West";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"185";"Okpe";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"186";"Oshimili North";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"187";"Oshimili South";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"188";"Patani";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"189";"Sapele";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"190";"Udu";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"191";"Ughelli North";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"192";"Ughelli South";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"193";"Ukwuani";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"194";"Uvwie";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"195";"Warri North";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"196";"Warri South";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"197";"Warri South-West";"11";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"198";"Abakaliki";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"199";"Afikpo North";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"200";"Afikpo South";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"201";"Ebonyi";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"202";"Ezza North";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"203";"Ezza South";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"204";"Ikwo";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"205";"Ishielu";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"206";"Ivo";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"207";"Izzi";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"208";"Ohaozara";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"209";"Ohaukwu";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"210";"Onicha";"12";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"211";"Akoko-Edo";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"212";"Egor";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"213";"Esan Central";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"214";"Esan North East";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"215";"Esan South East";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"216";"Esan West";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"217";"Etsako Central";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"218";"Etsako East";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"219";"Etsako West";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"220";"Igueben";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"221";"Ikpoba-Okha";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"222";"Oredo";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"223";"Orhionmwon";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"224";"Ovia North East";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"225";"Ovia South West";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"226";"Owan East";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"227";"Owan West";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"228";"Uhunmwonde";"13";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"229";"Ado Ekiti";"14";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"230";"Efon";"14";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"231";"Ekiti East";"14";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"232";"Ekiti South West";"14";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"233";"Ekiti West";"14";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
"234";"Emure";"14";"2019-09-09 20:16:20";"2019-09-09 20:16:20"
